w1,w2,w3,s1,s2,eq_check
6,4,4,signed,unsigned,True
6,4,4,unsigned,unsigned,True
7,4,4,signed,signed,False
7,4,4,unsigned,signed,False
7,4,4,signed,unsigned,True
7,4,4,unsigned,unsigned,True
8,4,4,signed,signed,False
8,4,4,unsigned,signed,False
8,4,4,signed,unsigned,True
8,4,4,unsigned,unsigned,True
1,4,5,signed,signed,False
1,4,5,unsigned,signed,False
1,4,5,signed,unsigned,False
1,4,5,unsigned,unsigned,True
2,4,5,signed,signed,False
2,4,5,unsigned,signed,False
2,4,5,signed,unsigned,False
2,4,5,unsigned,unsigned,True
3,4,5,signed,signed,False
3,4,5,unsigned,signed,False
3,4,5,signed,unsigned,False
3,4,5,unsigned,unsigned,True
4,4,5,signed,signed,False
4,4,5,unsigned,signed,False
4,4,5,signed,unsigned,True
4,4,5,unsigned,unsigned,True
5,4,5,signed,signed,False
5,4,5,unsigned,signed,False
5,4,5,signed,unsigned,True
5,4,5,unsigned,unsigned,True
6,4,5,signed,signed,False
6,4,5,unsigned,signed,False
6,4,5,signed,unsigned,True
6,4,5,unsigned,unsigned,True
7,4,5,signed,signed,False
7,4,5,unsigned,signed,False
7,4,5,signed,unsigned,True
7,4,5,unsigned,unsigned,True
8,4,5,signed,signed,False
8,4,5,unsigned,signed,False
8,4,5,signed,unsigned,True
8,4,5,unsigned,unsigned,True
1,4,6,signed,signed,False
1,4,6,unsigned,signed,False
1,4,6,signed,unsigned,False
1,4,6,unsigned,unsigned,True
2,4,6,signed,signed,False
2,4,6,unsigned,signed,False
2,4,6,signed,unsigned,False
2,4,6,unsigned,unsigned,True
3,4,6,signed,signed,False
3,4,6,unsigned,signed,False
3,4,6,signed,unsigned,False
3,4,6,unsigned,unsigned,True
4,4,6,signed,signed,False
4,4,6,unsigned,signed,False
4,4,6,signed,unsigned,False
4,4,6,unsigned,unsigned,True
5,4,6,signed,signed,False
5,4,6,unsigned,signed,False
5,4,6,signed,unsigned,True
5,4,6,unsigned,unsigned,True
6,4,6,signed,signed,False
6,4,6,unsigned,signed,False
6,4,6,signed,unsigned,True
6,4,6,unsigned,unsigned,True
7,4,6,signed,signed,False
7,4,6,unsigned,signed,False
7,4,6,signed,unsigned,True
7,4,6,unsigned,unsigned,True
8,4,6,signed,signed,False
8,4,6,unsigned,signed,False
8,4,6,signed,unsigned,True
8,4,6,unsigned,unsigned,True
1,4,7,signed,signed,False
1,4,7,unsigned,signed,False
1,4,7,signed,unsigned,False
1,4,7,unsigned,unsigned,True
2,4,7,signed,signed,False
2,4,7,unsigned,signed,False
2,4,7,signed,unsigned,False
2,4,7,unsigned,unsigned,True
3,4,7,signed,signed,False
3,4,7,unsigned,signed,False
3,4,7,signed,unsigned,False
3,4,7,unsigned,unsigned,True
4,4,7,signed,signed,False
4,4,7,unsigned,signed,False
4,4,7,signed,unsigned,False
4,4,7,unsigned,unsigned,True
5,4,7,signed,signed,False
5,4,7,unsigned,signed,False
5,4,7,signed,unsigned,False
5,4,7,unsigned,unsigned,True
6,4,7,signed,signed,False
6,4,7,unsigned,signed,False
6,4,7,signed,unsigned,True
6,4,7,unsigned,unsigned,True
7,4,7,signed,signed,False
7,4,7,unsigned,signed,False
7,4,7,signed,unsigned,True
7,4,7,unsigned,unsigned,True
8,4,7,signed,signed,False
8,4,7,unsigned,signed,False
8,4,7,signed,unsigned,True
8,4,7,unsigned,unsigned,True
1,4,8,signed,signed,False
1,4,8,unsigned,signed,False
1,4,8,signed,unsigned,False
1,4,8,unsigned,unsigned,True
2,4,8,signed,signed,False
2,4,8,unsigned,signed,False
2,4,8,signed,unsigned,False
2,4,8,unsigned,unsigned,True
3,4,8,signed,signed,False
3,4,8,unsigned,signed,False
3,4,8,signed,unsigned,False
3,4,8,unsigned,unsigned,True
4,4,8,signed,signed,False
4,4,8,unsigned,signed,False
4,4,8,signed,unsigned,False
4,4,8,unsigned,unsigned,True
5,4,8,signed,signed,False
5,4,8,unsigned,signed,False
5,4,8,signed,unsigned,False
5,4,8,unsigned,unsigned,True
6,4,8,signed,signed,False
6,4,8,unsigned,signed,False
6,4,8,signed,unsigned,False
6,4,8,unsigned,unsigned,True
7,4,8,signed,signed,False
7,4,8,unsigned,signed,False
7,4,8,signed,unsigned,True
7,4,8,unsigned,unsigned,True
8,4,8,signed,signed,False
8,4,8,unsigned,signed,False
8,4,8,signed,unsigned,True
8,4,8,unsigned,unsigned,True
1,5,1,signed,signed,True
1,5,1,unsigned,signed,True
1,5,1,signed,unsigned,True
1,5,1,unsigned,unsigned,True
2,5,1,signed,signed,True
2,5,1,unsigned,signed,True
2,5,1,signed,unsigned,True
2,5,1,unsigned,unsigned,True
3,5,1,signed,signed,True
3,5,1,unsigned,signed,True
3,5,1,signed,unsigned,True
3,5,1,unsigned,unsigned,True
4,5,1,signed,signed,True
4,5,1,unsigned,signed,True
4,5,1,signed,unsigned,True
4,5,1,unsigned,unsigned,True
5,5,1,signed,signed,True
